partner_id,beneficiary_name,identity_id,region,item_distributed,quantity_allocated
  WFP_PARTNER_A ,Recipient Profile 10104,SOM-ID-10104,Benadir,High Energy Biscuits (KG),130.0
  WFP_PARTNER_A ,Recipient Profile 10238,SOM-ID-10238,Bari,Water Purification Kits,25.57
WFP_PARTNER_A,Recipient Profile 10429,SOM-ID-10429,Bari,PlumpyNut (KG),360.85
  WFP_PARTNER_B ,Recipient Profile 10825,SOM-ID-10825,Gedo,High Energy Biscuits (KG),406.62
WFP_PARTNER_B,Recipient Profile 10781,SOM-ID-10781,Gedo,High Energy Biscuits (KG),146.16
UN_AGENCY_LOCAL,Recipient Profile 10352,SOM-ID-10352,Benadir,Rice (MT),196.16
UN_AGENCY_LOCAL,Recipient Profile 10387,SOM-ID-10387,Benadir,Water Purification Kits,272.75
WFP_PARTNER_A,Recipient Profile 10882,SOM-ID-10882,Bari,High Energy Biscuits (KG),416.41
  UN_AGENCY_LOCAL ,Recipient Profile 10233,SOM-ID-10233,Bari,PlumpyNut (KG),355.24
UN_AGENCY_LOCAL,Recipient Profile 10464,SOM-ID-10464,Benadir,PlumpyNut (KG),434.58
UN_AGENCY_LOCAL,Recipient Profile 10718,SOM-ID-10718,Bay,High Energy Biscuits (KG),184.08
WFP_PARTNER_A,Recipient Profile 10473,SOM-ID-10473,Bari,PlumpyNut (KG),271.73
NGO_COUNCIL,Recipient Profile 10794,SOM-ID-10794,Lower Shabelle,PlumpyNut (KG),345.46
WFP_PARTNER_A,Recipient Profile 10067,SOM-ID-10067,Bay,Rice (MT),404.47
WFP_PARTNER_B,Recipient Profile 10905,SOM-ID-10905,Bari,High Energy Biscuits (KG),114.19
NGO_COUNCIL,UNKNOWN RECORD,,Bay,High Energy Biscuits (KG),78.42
UN_AGENCY_LOCAL,Recipient Profile 10224,SOM-ID-10224,Bari,Water Purification Kits,449.93
  WFP_PARTNER_B ,Recipient Profile 10112,SOM-ID-10112,Bari,Water Purification Kits,54.55
WFP_PARTNER_B,Recipient Profile 10610,SOM-ID-10610,Bay,Water Purification Kits,302.24
NGO_COUNCIL,Recipient Profile 10011,SOM-ID-10011,Bari,High Energy Biscuits (KG),485.83
WFP_PARTNER_A,Recipient Profile 10300,SOM-ID-10300,Bari,High Energy Biscuits (KG),386.61
NGO_COUNCIL,Recipient Profile 10736,SOM-ID-10736,Bay,Water Purification Kits,11.59
  UN_AGENCY_LOCAL ,Recipient Profile 10640,SOM-ID-10640,Bari,PlumpyNut (KG),258.76
UN_AGENCY_LOCAL,Recipient Profile 10552,SOM-ID-10552,Bari,PlumpyNut (KG),84.89
  WFP_PARTNER_A ,Recipient Profile 10371,SOM-ID-10371,Bari,High Energy Biscuits (KG),249.42
UN_AGENCY_LOCAL,Recipient Profile 10080,SOM-ID-10080,Bay,Rice (MT),128.03
WFP_PARTNER_A,Recipient Profile 10128,SOM-ID-10128,Gedo,Rice (MT),489.21
WFP_PARTNER_B,Recipient Profile 10433,SOM-ID-10433,Gedo,PlumpyNut (KG),139.88
WFP_PARTNER_B,Recipient Profile 10687,SOM-ID-10687,Bari,PlumpyNut (KG),359.34
UN_AGENCY_LOCAL,Recipient Profile 10346,SOM-ID-10346,Gedo,Water Purification Kits,69.29
  WFP_PARTNER_A ,Recipient Profile 10724,SOM-ID-10724,Bari,PlumpyNut (KG),298.34
WFP_PARTNER_A,Recipient Profile 10072,SOM-ID-10072,Bay,Rice (MT),453.66
  WFP_PARTNER_B ,Recipient Profile 10903,SOM-ID-10903,Lower Shabelle,Water Purification Kits,114.98
  NGO_COUNCIL ,Recipient Profile 10099,SOM-ID-10099,Bay,Water Purification Kits,405.67
NGO_COUNCIL,Recipient Profile 10055,SOM-ID-10055,Lower Shabelle,Water Purification Kits,211.44
WFP_PARTNER_A,Recipient Profile 10111,SOM-ID-10111,Benadir,Water Purification Kits,366.82
  WFP_PARTNER_B ,Recipient Profile 10187,SOM-ID-10187,Bay,PlumpyNut (KG),272.78
  UN_AGENCY_LOCAL ,Recipient Profile 10827,SOM-ID-10827,Gedo,PlumpyNut (KG),438.5
WFP_PARTNER_A,Recipient Profile 10869,SOM-ID-10869,Benadir,Rice (MT),484.81
WFP_PARTNER_B,Recipient Profile 10410,SOM-ID-10410,Bay,Water Purification Kits,247.96
WFP_PARTNER_A,Recipient Profile 10948,SOM-ID-10948,Bay,Water Purification Kits,11.06
NGO_COUNCIL,Recipient Profile 10802,SOM-ID-10802,Lower Shabelle,Water Purification Kits,351.33
NGO_COUNCIL,Recipient Profile 10593,SOM-ID-10593,Bay,PlumpyNut (KG),155.39
WFP_PARTNER_A,Recipient Profile 10941,SOM-ID-10941,Lower Shabelle,Rice (MT),34.57
  WFP_PARTNER_B ,Recipient Profile 10069,SOM-ID-10069,Benadir,Rice (MT),427.16
WFP_PARTNER_B,Recipient Profile 10592,SOM-ID-10592,Gedo,Rice (MT),471.38
WFP_PARTNER_A,Recipient Profile 10535,SOM-ID-10535,Bari,Rice (MT),215.42
UN_AGENCY_LOCAL,Recipient Profile 10271,SOM-ID-10271,Lower Shabelle,PlumpyNut (KG),338.17
